Geography	Date	Weekly Cases	New Historic Cases	Year	Month	Year_Month
United States	08-03-23	170576	0	2023	3	2023.03
United States	01-03-23	226995	0	2023	3	2023.03
United States	22-02-23	239729	29950	2023	2	2023.02
United States	15-02-23	262074	0	2023	2	2023.02
United States	08-02-23	284724	0	2023	2	2023.02
United States	01-02-23	287548	4507	2023	2	2023.02
United States	25-01-23	302548	0	2023	1	2023.01
United States	18-01-23	316619	0	2023	1	2023.01
United States	11-01-23	455884	0	2023	1	2023.01
United States	04-01-23	479604	0	2023	1	2023.01
United States	28-12-22	401220	0	2022	12	2022.12
United States	21-12-22	494946	21397	2022	12	2022.12
United States	14-12-22	455899	0	2022	12	2022.12
United States	07-12-22	471266	0	2022	12	2022.12
United States	30-11-22	309697	0	2022	11	2022.11
United States	23-11-22	308887	0	2022	11	2022.11
United States	16-11-22	282143	0	2022	11	2022.11
United States	09-11-22	290082	0	2022	11	2022.11
United States	02-11-22	275791	0	2022	11	2022.11
United States	26-10-22	261989	0	2022	10	2022.1
United States	19-10-22	260426	0	2022	10	2022.1
United States	12-10-22	265708	0	2022	10	2022.1
United States	05-10-22	320241	0	2022	10	2022.1
United States	28-09-22	341806	0	2022	9	2022.09
United States	21-09-22	396991	0	2022	9	2022.09
United States	14-09-22	470423	0	2022	9	2022.09
United States	07-09-22	526172	0	2022	9	2022.09
United States	31-08-22	614706	0	2022	8	2022.08
United States	24-08-22	652087	0	2022	8	2022.08
United States	17-08-22	693235	0	2022	8	2022.08
United States	10-08-22	773234	0	2022	8	2022.08
United States	03-08-22	837136	0	2022	8	2022.08
United States	27-07-22	926665	0	2022	7	2022.07
United States	20-07-22	900826	0	2022	7	2022.07
United States	13-07-22	865480	0	2022	7	2022.07
United States	06-07-22	775021	0	2022	7	2022.07
United States	29-06-22	772260	0	2022	6	2022.06
United States	22-06-22	683326	0	2022	6	2022.06
United States	15-06-22	727432	0	2022	6	2022.06
United States	08-06-22	759509	0	2022	6	2022.06
United States	01-06-22	714634	0	2022	6	2022.06
United States	25-05-22	765813	0	2022	5	2022.05
United States	18-05-22	710805	0	2022	5	2022.05
United States	11-05-22	589608	0	2022	5	2022.05
United States	04-05-22	455940	0	2022	5	2022.05
United States	27-04-22	369997	0	2022	4	2022.04
United States	20-04-22	296716	0	2022	4	2022.04
United States	13-04-22	229020	0	2022	4	2022.04
United States	06-04-22	195817	0	2022	4	2022.04
United States	30-03-22	193732	0	2022	3	2022.03
United States	23-03-22	194214	0	2022	3	2022.03
United States	16-03-22	213211	0	2022	3	2022.03
United States	09-03-22	270645	0	2022	3	2022.03
United States	02-03-22	370825	0	2022	3	2022.03
United States	23-02-22	550989	0	2022	2	2022.02
United States	16-02-22	930217	0	2022	2	2022.02
United States	09-02-22	1495925	0	2022	2	2022.02
United States	02-02-22	2720571	0	2022	2	2022.02
United States	26-01-22	4433771	0	2022	1	2022.01
United States	19-01-22	5630722	0	2022	1	2022.01
United States	12-01-22	5487327	0	2022	1	2022.01
United States	05-01-22	4087955	0	2022	1	2022.01
United States	29-12-21	2104534	0	2021	12	2021.12
United States	22-12-21	1146273	0	2021	12	2021.12
United States	15-12-21	841696	0	2021	12	2021.12
United States	08-12-21	847042	0	2021	12	2021.12
United States	01-12-21	613049	0	2021	12	2021.12
United States	24-11-21	672740	0	2021	11	2021.11
United States	17-11-21	614666	0	2021	11	2021.11
United States	10-11-21	535253	0	2021	11	2021.11
United States	03-11-21	502560	0	2021	11	2021.11
United States	27-10-21	503032	0	2021	10	2021.1
United States	20-10-21	532277	0	2021	10	2021.1
United States	13-10-21	619280	0	2021	10	2021.1
United States	06-10-21	704609	0	2021	10	2021.1
United States	29-09-21	799804	0	2021	9	2021.09
United States	22-09-21	921746	0	2021	9	2021.09
United States	15-09-21	1085336	0	2021	9	2021.09
United States	08-09-21	1068729	0	2021	9	2021.09
United States	01-09-21	1175538	0	2021	9	2021.09
United States	25-08-21	1009322	0	2021	8	2021.08
United States	18-08-21	999670	0	2021	8	2021.08
United States	11-08-21	901698	0	2021	8	2021.08
United States	04-08-21	670170	0	2021	8	2021.08
United States	28-07-21	453027	0	2021	7	2021.07
United States	21-07-21	287512	0	2021	7	2021.07
United States	14-07-21	178258	0	2021	7	2021.07
United States	07-07-21	109542	0	2021	7	2021.07
United States	30-06-21	93824	0	2021	6	2021.06
United States	23-06-21	82186	0	2021	6	2021.06
